#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
180,"Gains Farm
GFARM2","$5 276,42",0.2%,0.4%,3.5%,-19.0%,"$2 324,27",35 833,"35,8 millier",$189 062 511
181,"0x Protocol
ZRX","$0,222883",-0.1%,0.8%,-0.3%,-15.3%,$9 353 116,847 496 055,1 milliard,$188 856 961
182,"WAX
WAXP","$0,056360739085",0.3%,-1.6%,-1.5%,-18.1%,$3 037 595,3 306 961 566,"3,77 milliard",$186 400 522
183,"Krypton DAO
KRD","$1,79",0.5%,-2.0%,-20.1%,25.0%,"$10 262,42",102 457 125,10 milliard,$183 305 937
184,"Band Protocol
BAND","$1,45",0.2%,-0.9%,0.4%,-14.1%,$4 890 538,125 848 146,135 million,$183 115 989
185,"Kadena
KDA","$0,779562",-0.0%,1.1%,-2.4%,-18.3%,$2 688 499,231 668 923,1 milliard,$180 581 654
186,"Moonbeam
GLMR","$0,279621",0.3%,-0.3%,-4.7%,-25.5%,$3 247 516,642 367 682,"1,07 milliard",$179 754 262
187,"IOST
IOST","$0,009534415301",0.2%,1.5%,0.7%,-9.5%,$5 541 376,18 708 894 189,"18,7 milliard",$178 342 025
188,"SSV Network
SSV","$24,99",0.2%,3.0%,14.6%,-6.5%,$15 871 880,7 085 673,"11,1 million",$177 106 054
189,"LUKSO
LYXE","$11,28",1.1%,-5.6%,-17.6%,-16.9%,$2 387 227,15 575 916,100 million,$175 758 591
190,"Sushi
SUSHI","$0,898840",0.1%,1.6%,-0.3%,-14.0%,$16 903 801,192 789 256,249 million,$173 286 702
191,"Siacoin
SC","$0,003341857977",0.3%,-1.4%,-3.8%,-16.0%,$2 121 159,51 477 015 000,-,$172 028 873
192,"Alchemix USD
ALUSD","$0,998882",0.0%,0.0%,-0.0%,0.1%,$131 371,171 782 463,172 million,$171 419 238
193,"Polymath
POLY","$0,190359",0.3%,-2.3%,-1.3%,-18.7%,$509 191,898 550 830,1 milliard,$171 047 126
194,"Bone ShibaSwap
BONE","$0,742115",0.7%,3.4%,-6.2%,-22.1%,$4 153 561,229 923 351,230 million,$170 604 252
195,"ECOMI
OMI","$0,000611717124",0.0%,-3.7%,2.5%,-3.3%,$666 346,277 296 839 552,318 milliard,$169 667 738
196,"Waves
WAVES","$1,66",0.6%,2.4%,3.4%,-15.4%,$11 914 276,100 000 000,100 million,$166 422 460
197,"Amp
AMP","$0,002891784876",-0.0%,-2.5%,-6.1%,-19.4%,$2 542 975,56 127 938 240,"99,4 milliard",$162 266 945
198,"Astrafer
ASTRAFER","$1,03",0.0%,-0.8%,-3.1%,-25.5%,"$12 414,31",156 553 961,888 million,$161 949 365
